candidate_id,split,issuer,categories,question_1,question_2,issuer_correct,is_composite,joint_answer_exists,composite_question,composite_answer,notes
mrna-24e34c73-959b2bb1,held_out,MRNA,Shareholder return + Legal,Impact on capital allocation and risk mgmt from Moderna's repurchase timing. MRNA,Impact of patent litigation on earnings & cash flow for MRNA in short-medium term.,,,,,,
adi-04a8b1c4-201e1ddd,held_out,ADI,Risk + Shareholder return,"Impact of cybersecurity spend on profitability, cash flow, and risk profile for ADI.","Repurchasing shares can boost EPS, enhancing profitability for Analog Devices (ADI).",,,,,,
es-8aba2745-ac857a7e,held_out,ES,Accounting + Company overview,"ES revenue recognition is influenced by retail tariffs, wholesale transmission, and market sales, along with associated risk implications, Ticker.","Eversource Energy's operational risks, profitability, & cash flow stability compared to peers, TKR: ES.",,,,,,
dpz-7de4ba85-bf27b675,held_out,DPZ,Financials + Accounting,Long-term debt comp. for DPZ diff. Dec23 vs prior period.,"In terms of liquidity and working capital implications, DPZ's cash collection timing plays a crucial role.",,,,,,
cmcsa-2598abb6-625739ab,held_out,CMCSA,Footnotes + Accounting,Comcast's (CMCSA) counterparty purchase option risks affect OpEx and profitability.,CMCSA's contractual terms & deferred rev impact profit & risk.,,,,,,
panw-24ab435b-841a80b5,held_out,PANW,Governance + Accounting,"PANW's seasoned directors ensure audit governance, enhance transparency, and drive long-term profitability.",Internal controls for performance obligations and revenue reliability at PANW.,,,,,,
hp-3986a611-a64a11d6,held_out,HP,Accounting + Legal,"HP's agent vs principal revenue reporting risk & valuation, particularly for its ticker, is crucial for understanding financial health.","Trends in legal expenses, HP, indicate profitability risks.",,,,,,
tmus-76507368-fedb0902,development,TMUS,Risk + Accounting,The impact of TMUS cybersecurity incidents on operating results & profitability; steps for mgmt to mitigate risks.,Impact of imputed interest EIP on transaction pricing & profit vs. credit risk for TMUS.,,,,,,
vrsk-67438495-a97d9785,development,VRSK,Company overview + Financials,"Verisk's senior mgmt. engagement affects customer risk, VRSK's long-term financial health.",Verisk Analytics (VRSK) faces long-term debt refinancing risks impacting capital planning.,,,,,,
crwd-3870d6d8-6e873fd0,held_out,CRWD,Company overview + Footnotes,"Impact of customer support, incident response, & proactive services on recurring revenue & cash flow for CrowdStrike (CRWD).",CRWD's profitability profile is affected by contractual cash outflows and associated risks.,,,,,,
kmi-251b390e-ce00b217,held_out,KMI,Company overview + Governance,"KMI's labor strategy, incorporating risk mitigation, emphasizes long-term performance.",KMI's board leadership structure's impact on profitability.,,,,,,
tt-2ab793d6-6b2252bf,held_out,TT,Legal + Company overview,Asbestos liability estimation risk profile for TT affects capital allocation.,"Trane Technologies (TT) is focused on global regulatory risks, economic fluctuations, and cash flow stability.",,,,,,
mhk-1377d233-f2ded26c,held_out,MHK,Risk + Company overview,"Cost structure for cybersecurity at Mohawk Industries, along with its op. profitability and projected long-term impact, focusing on ticker MHK.",Mohawk Industries faces external growth drivers & risks impacting performance; MHK.,,,,,,
itw-99215940-99faf572,held_out,ITW,Footnotes + Financials,OCF & profitability impact from ITW non-cash adjustments.,Debt segments of ITW with high effective rates impact risk on profitability & cash flow.,,,,,,
eps-79b085d0-bd24c352,held_out,EPS,Governance + Financials,Impact of CSCO repurchase on EPS & returns.,2024 div payout CTAS EPS Diluted/Dividends Declared.,,,,,,
